Verse,Meter,Stressed_Verse
sports with the suff'rings of the good and great,iambic,wswswswsws
thrice happy they who view with stable eyes,iambic,wswswswsws
thus unobnoxious to detraction's aim,iambic,wswswswsws
her right a regal sceptre seem'd to hold,iambic,wswswswsws
and pours her sorrows o'er the form she grasps,iambic,wswswswsws
let me thy palm tho' not thy laurel share,iambic,wswswswsws
and by a murmuring stream supinely lay,iambic,wswswswswsw
of saturn's ring bright shines the border,iambic,wswswswsw
and therefore mayst without attaint oerlook,iambic,wswswswswws
by holy druids' couragebreathing songs,iambic,wswswswsws
is such a life so tediously the same,iambic,wswswswswsw
yon craggy mountain whose fastidious head,iambic,wswswswswsw
that first united glows throughout their life,iambic,wswswswsws
to combat atheists with in modern days,iambic,wswswswwsws
whilst with encreasing steps we all pursue,iambic,wswswswsws
stole first into the mind yet not by all,iambic,wswswswsws
a hollow voice for entrance calls,iambic,wswswsws
the world's sworn advocate without a fee,iambic,wswswswsws
his pupil and his torment and his jest,iambic,wswswswsws
no less a slave than they each rumour shakes,iambic,wswswswsws
from all the hamlet cull'd whom best i lov'd,iambic,wswswswsws
and rooted all who saw the bloody deed,iambic,wswswswsws
nor find defence nor charter there,iambic,wswswsws
since you're endow'd with a celestial mind,iambic,wswswswsws
and little hearts for genuine glory beat,iambic,wswswsswsws
apollo and the sacred nine,iambic,wswswsws
the pasture gay no hurtful weeds be found,iambic,wswswswsws
look'd down and smil'd and authoriz'd my flame,iambic,wswswswsws
the neighb'ring swains to grace the nuptial rites,iambic,wswswswsws
at noon i slept a serpent's sudden hiss,iambic,wswswswsws
altho' th' extremest distances you try,iambic,swswswsswsw
sollicit nor unwelcome to the youth,iambic,swswswswsw
to cheer you thro' life's thorny way,iambic,wswswsws
to gather balm of choicest dews,iambic,wswswsws
and bless the storms that blow'd me to this isle,iambic,wswswswsws
at length the fatal morn arose,iambic,wswswsws
but find me wrapt in meditations high,iambic,wswswswsws
which falls descending to his wealthy heir,iambic,wswswswsws
so take my judgment in his language dress'd,iambic,wswswswsws
written in gold let revolution stand,iambic,sswswswsws
when charms like these dear maid conspire,iambic,wswswswsw
for charm'd with heav'nly song this mournful breast,iambic,wswswswsws
where ale thy votaries in full resort,iambic,wswswswsws
mean while altho' the massic grape delights,iambic,wswswswsws
when now no friendly look was left,iambic,wswswsws
subordinate and diligence was choice,iambic,wswswswsws
her flavio them alone might hear,iambic,wsswswsws
i say my pray'rs and lead a sober life,iambic,wswswswsws
there with sad ghosts to pine and shadows dun,iambic,wswswswsws
on every foot of that improving ground,iambic,wsswswswsws
not such th' alert and active measure life,iambic,wwswswswsws
nor is it hard to beautifie each month,iambic,wswswswsws
that downward tumbling on the host below,iambic,wswswswwsws
songs of chiefs and heroes old,iambic,swswsws
for when they praise your blinking ee,iambic,wswswsws
from whence its blessings flow and the rapt voice,iambic,wswswswsws
intend a zealous pilgrimage to thee,iambic,wswswswsws
but artful chang'd the subject and the lore,iambic,wswswswsws
his twisted spires or stretch his lengthen'd train,iambic,wswswswsws
you've now some features i could mend,iambic,wswswsws
extremes are dang'rous plac'd on either side,iambic,wswswswsws
them and their gods defying drove them thence,trochaic,wswswswsws
among thy sister nymphs who play'd,trochaic,wswswsws
that spreads her verdure to the cold,trochaic,wswswsws
then each heart with fear confounding,trochaic,wwswswsw
see the lovely mimic smile,trochaic,swswsws
gay sylvander in the dance,trochaic,wswswsw
let me when i must be fine,trochaic,wswswsw
yet still enamour'd of their ancient haunts,trochaic,wswswswsws
deedsarebetterthingsthanwordsare,trochaic,swswswsw
and was indeed their slave not england's king,trochaic,wswswswsws
a life that can no envy yield,trochaic,wswswsws
lov'd for genius worth and truth,trochaic,swswsws
then the progeny that springs,trochaic,wwswsws
why not boldly venture o'er,trochaic,wwswsws
by soiling with dishonourable deeds,trochaic,wswswswsws
this edward guardian father of our isle,trochaic,wswswswsws
guardedbytheblackpitch water,trochaic,swswswsw
gently waft to mira's breast,trochaic,swswswsw
that hither from your distant residence,trochaic,wswswswsws
seraphick lays,trochaic,swsw
disdain but shall the rider put a curb,trochaic,wswswswsws
o'er the plenty of the plain,trochaic,wwswsws
to her own selfapplauding breast,trochaic,wswswsws
fancy whose delusions vain,trochaic,swswsws
and thy own glory with like reverence,trochaic,wswswswsws
slaythismercilessmagician,trochaic,swswswsw
night's lone bird selects her bower,trochaic,swswswsw
pallas then the work to crown,trochaic,swswsws
and bade her aweful tongue demand,trochaic,wswswsws
and as they list her simple story,trochaic,wswswswsw
sprinkling hope's gay path with flowers,trochaic,swswswsw
thy pleasures edward minister supreme,trochaic,wswswswsws
edwin but i need not tell you,trochaic,swswswsw
as idle and as fond of play,trochaic,wswswsws
in his own mouth the laws that kings have made,trochaic,wswswswsws
may'st thou triumphant in each state of life,trochaic,wswswswsws
emulate thy damask cheek,trochaic,swswsws
vie with fields in vernal bloom,trochaic,swswsws
paints with gold the villagespire,trochaic,swswswsw
wandering wept a woeworn maid,trochaic,wswswsws
my son receive and wear this golden chain,trochaic,wswswswsws
and dress'd with all that rural care,trochaic,wswswsws
fair laurentia if i deem,trochaic,swswsws
pour the happy song of home,trochaic,swswsws
boiling ay with mineral heat,trochaic,swswswsw
living only in the root,trochaic,swswsws
hath pour'd her richest gifts renown and wealth,trochaic,wswswswsws
flitting round from morn till night,trochaic,swswsws
which for windingsheets they wore,trochaic,wwswsws
smil'st on round hygeia's shrine,trochaic,wswswsw
and in sad and solemn accents,trochaic,wwswswsw
with my hand beneath my head,trochaic,wwswsws
with the like spirit have i also woo'd,trochaic,wswswswsws
'till thro' the dark romantic tale,trochaic,wswswsws
bearing neither leaves nor fruit,trochaic,swswsws
for as the theban queen in fables old,trochaic,wswswswsws
briskly crows the shepherd's clock,trochaic,swswsws
a pois'nous viper nay unking'd myself,trochaic,wswswswsws
soon we lose alas how soon,trochaic,swswsws
fame is thine lo crowds aver it,trochaic,wswswsws
that i have lov'd philippa and esteem'd thee,trochaic,wswswswswsw
o grant me wheresoe'er ye please,trochaic,wswswsws
and with measur'd pace and even,trochaic,wwswswsw
sov'reign o'er the healing wave,trochaic,swswsws
if a perfect form can please,trochaic,wswswsw
green in summer white in winter,trochaic,swswswsw
pollio would'st thou condescend,trochaic,sswswsws
will you hear how once repining,trochaic,wwswswsw
wheresoe'er be thine abode,trochaic,swswsws
allhiswealthofskinsandwampum,trochaic,wswswsws
andhereeledandstaggeredforward,trochaic,swswswswsw
that fair iberia boasts might ev'n pretend,trochaic,wswsswswsws
ponder in thy godlike mind,trochaic,swswsws
the levee of his grace attend,trochaic,wswswsws
sieges battles thick appear,trochaic,swswsws
swords and pikes and waves and flames,trochaic,wswswsw
and calmly waits eternal rest,trochaic,wswswsws
tho' first indeed to valour as the guard,trochaic,wswswswsws
malice never taught to treasure,trochaic,swswswsw
of moralizing dullness idle fear,trochaic,wswswswsws
that candidate is edward prince of wales,trochaic,wswswswsws
whilst of nature or of fate,trochaic,swswsws
dancing blythe his nymph he leads,trochaic,swswsws
yet from life few joys he drew,trochaic,wswswsw
shall this day unheeded fly,trochaic,wwswsws
wou'dst thou attain my garter seek it there,trochaic,wswswswsws
since my strephon you so kind are,trochaic,wwswswsw
busy still and still on wing,trochaic,swswsws
do thou great edward give this noble mark,trochaic,wswswswsws
barren brown and rough appear,trochaic,swswsws
scotland through each winding vale,trochaic,swswsws
all those dismal looks and fretting,trochaic,wwswswsw
this institution but for all desert,trochaic,wswswswsws
for all pleasures left behind,trochaic,wwswsws
giving thus a birth to bliss,trochaic,swswsws
is measur'd by its riches venice thus,trochaic,wswswswsws
she bade her harness'd warriors shine,trochaic,wswswswsw
nature's universal song,trochaic,swswsws
of captive monarchs and the glitt'ring throng,trochaic,wswswswsws
rusticks had been more forgiving,trochaic,swswswsw
of worth praeeminent and in return,trochaic,swswsswsws
the golden veins of commerce by employing,trochaic,wswswswswsw
and joyous industry or furrow'd plain,trochaic,wswswswsws
on heroes patriots righteous kings conferr'd,trochaic,wswsswswsws
stella ever trod awry,trochaic,swswsws
tell me is the omen true,trochaic,wswwsws
to a soft and merry note,trochaic,wwswsws
the blue heron the shuhshuhgah,trochaic,swsswsws
whilst my transports i employ,trochaic,wswswsw
whence these legends and traditions,trochaic,wwswswsw
and if thou my voice inspire,trochaic,wswwsws
as the quick eye can scarce pursue,trochaic,wswswsws
where in the glitter of unnumber'd worlds,trochaic,wswswswsws
o in our hearts thy energy infuse,trochaic,wswswswsws
faroffonthereedymargin,trochaic,swswswsw
with their frequent repetitions,trochaic,wwswswsw
and her attendant graces i may plead,trochaic,wswswswsws
to the spot the housewife hies,trochaic,wwswsws
to dignify th' erection of a new,trochaic,wswswswswsw
waitingforthehero'scoming,trochaic,swswswsws
to prove the economy divine,trochaic,swswswsws
who sleeps or sings in careless ease beneath,trochaic,wswswswsws
where contentment chose to dwell,trochaic,swswsws
listen to these wild traditions,trochaic,swswswsw
no my chaplet wou'd decay,trochaic,swswsws
see before the wicket gate,trochaic,swswsws
hath made the shadows flee away,trochaic,wswswsws
one whose heart is ever constant,trochaic,wwswswsw
fifty years have render'd callous,trochaic,swswswsw
soon their ample sway shall stretch,trochaic,swswsws
when dispos'd to be more gay,trochaic,swswsws
no 'tis surely sweet contentment,trochaic,swswswsw
wingedwithfeatherstippedwithjasper,trochaic,swswswsws
careless wanton young and bold,trochaic,swswsws
daring to be great and good,trochaic,swswsws
her high commands enforc'd her pow'r implor'd,trochaic,wswswswssws
life's purple stream the verdure stains,trochaic,wswswsws
takeyourbowohiawatha,trochaic,swswswsw
and often by the murm'ring rill,trochaic,wswswsws
about his chequer'd sides i wind,trochaic,wswswsws
in wreathen garlands dropt agen,trochaic,wswsswsw
'tis but nature's better dress,trochaic,swswsws
illustrious monarch emp'ror of the isles,trochaic,wsswswswsws
a ray of glory i would sue to gain,trochaic,wswswswsws
whistling tread the jocund swains,trochaic,swswsws
strait the god inflam'd with love,trochaic,swswsws
that like voices from afar off,trochaic,wwswswsw
honour her heav'nelected spouse,trochaic,sswswsws
in humbler distances and safer bounds,trochaic,wswswswsws
while heav'n and earth in edward's praise conspire,trochaic,wswswswswsw
yet sweet mourner still complain,trochaic,swswsws
auspicious prince but on the skill to give,trochaic,wswswswsws
and when a prince is brave magnanimous,trochaic,wswswswsws
if her kid or lambkin die,trochaic,wwswsws
that selfish passion which congeals the heart,trochaic,wswswswsws
peace opposes or destroys,trochaic,swswsws
the huns and vandals from their barren hills,trochaic,wswswswsws
from some distant region haste,trochaic,wwswsws
of industry and opulence which fills,trochaic,wswswswsws
s's shape and r's face,trochaic,swswsw
see her glories paint the skies,trochaic,swswsws
pleas'd the toils of day are o'er,trochaic,wswswsw
believe me now i cannot stay,trochaic,wswswsws
waste in humble joys and pure,trochaic,swswsws
sees honour woo her for his mate,trochaic,wswswsws
easy blith and debonair,trochaic,swswsws
ah sappho sweeter sings i cry,trochaic,wswswsws
now the moonbeam's trembling lustre,trochaic,swswswsws
plunginglikeawoundedbison,trochaic,swswswsw
happier stars the brave befriend,trochaic,sswswsws
and softens the dispute with smiles,trochaic,wswswsws
grace thy modest shepherdess,trochaic,swswsws
and boasts her berries fair and ripe,trochaic,wswswsws
'tis to die upon a grave,trochaic,swswsws
none had envy'd me when living,trochaic,swswswsw
'tis now th' apartment of the toad,trochaic,swswswsws
drooping o'er its infant bud,trochaic,swswsws
own thy laws and yield to thee,trochaic,wswswsw
here i feed my constant woe,trochaic,wwswsws
joy attend this happy pair,trochaic,swswsws
mark the chosen shepherdess,trochaic,swswsws
by the pale moon discern'd on sarum's plain,trochaic,wswswswsws
joyful with the smiling year,trochaic,swswsws
of vulgar prejudices vulgar fears,trochaic,wswswswsws
to tempt or break his passions to the yoke,trochaic,wswswswsws
and maladies an endless train,trochaic,wswswsws
and all the brazen throats of civil war,trochaic,wswswswsws
well you paint the crystal spring,trochaic,swswsws
sultry suns seem'd in conjunction,trochaic,swswswsw
from the things thou'd'st have me learn,trochaic,wswswsw
true no shining slaves surround me,trochaic,swswswsw
fall and meet the eye again,trochaic,swswsws
slothful goddess give the day,trochaic,swswsws
where rough storms and tempests grow,trochaic,swswsws
though to fortune's frowns subjected,trochaic,wwswswsw
these are my pleasures can thy skill bestow,trochaic,wswswswsws
between the cradle and the grave,trochaic,wswswsws
in thy balance just and true,trochaic,wwswsws
virtue's flame unquench'd shall burn,trochaic,swswsws
by some mighty earthquake's shock,trochaic,wwswsws
shall then those breasts be fair in vain,trochaic,wswswsws
when expectation grave or gay,trochaic,wswswsws
here have hail'd the rising moon,trochaic,wwswsws
for the good they comprehend not,trochaic,wwswswsw
phoebus drives his burning car,trochaic,swswsws
wherever we direct our eyes,trochaic,wswswsws
of this enamel'd butterfly,trochaic,wswswsws
unfaithful insolent rapacious base,trochaic,wswswswsws
and the hills and vales and trees,trochaic,wswswsw
see what crowds surround the gate,trochaic,swswsws
not the companions and the counsellors,trochaic,wswswswsws
token of the housewife's care,trochaic,swswsws
than ever ripen'd in this northern clime,trochaic,wswswswsws
learning thorny are thy ways,trochaic,swswsws
shall rise to envy'd greatness shall advance,trochaic,wswswswsws
withthecrimsontuftoffeathers,trochaic,wswswsws
devoted ever their recording lyre,trochaic,wswswswsws
wearsthetuftofcrimsonfeathers,trochaic,swswswsw
inatoneofloudderision,trochaic,swswswsws
my unshaken liberty,trochaic,swswsws
not only in effects appear,trochaic,wswswsws
to view those heroes whose immortal praise,trochaic,wswswswsws
bursting from the sable sky,trochaic,swswsws
'till contemplation had her fill,trochaic,wswswsws
thoughts by decency controul'd,trochaic,wswswsw
lest the revenge of an insulted king,trochaic,wswswswsws
who weakly trusts to mercenary bands,trochaic,wswswswsws
due to my toils and service to my wounds,trochaic,wswswswsws
ye promises ye flatterers vain,trochaic,wswswswsw
let this mortal frame decay,trochaic,swswsws
who change security and fair renown,trochaic,wswswswsws
wandering o'er the dewy plain,trochaic,swswwsws
echo glad responsive sung,trochaic,swswsws
nor doth night with slumber blest,trochaic,swswsws
o'er the youthful king your shield,trochaic,wwswsws
till the worn carriage drops away,trochaic,wswswsws
calls this bright troop of spirits to survey,trochaic,wswswswsws
in vain ye search the domes of care,trochaic,wswswsws
of freedom and of just prerogative,trochaic,wswswswsws
dews descending bless the soil,trochaic,swswsws
firesbyghostsofdeadmenkindled,trochaic,sswswswsw
and fall before the fatal steel,trochaic,wswswsws
can thy hand forget its task,trochaic,wwswsws
from ev'ry shore the noble wise and brave,trochaic,wswswswsws
and rejoicing in her course,trochaic,swswsws
and all the gay delights are fled,trochaic,wswswsws
there he sang of hiawatha,trochaic,wwswswsw
sailingroundinnarrowercircles,trochaic,swswswsws
thou that cheer'st the industrious swain,trochaic,swswswswsw
but my orders not to fight,trochaic,wwswsws
whatever men desire or venerate,trochaic,wswswsswsws
and for each fond mischief ripe,trochaic,wwswsws
fromthebackofmegissogwon,trochaic,swswswsw
bright and blushing as the morn,trochaic,swswsws
coy no more with rapture crown,trochaic,wswwsws
tune my gentle lyre to love,trochaic,swswsws
on thee bade youth and beauty wait,trochaic,wswswsws
to perfect man whilst friends with heaven,trochaic,wswswswsw
while the thrush unheeded by,trochaic,wwswsws
and on your soaring wing,trochaic,wswsws
oppressive loads the monarch's aching brow,trochaic,wswswswsws
a smoaking hecatomb each day,trochaic,wswswsws
thou the bulwark of our cause,trochaic,wwswsws
to cattraeth's vale in glittering row,trochaic,wswswswsw
shaking o'er his drowsy head,trochaic,swswsws
or inspir'd by heav'n's good cause,trochaic,wswswsws
catch them from her mother's eyes,trochaic,wswwsws
on acts for the deliv'rance of mankind,trochaic,wswswswsws
near the favourite streams to dwell,trochaic,wwswswsw
ye nymphs of windsor's bow'ry woods,trochaic,wswswsws
yet she foots it but with me,trochaic,wswswsw
settheskyonfirebehindhim,trochaic,swswswsws
thekeneuthegreatwar eagle,trochaic,wswswsws
from the land of the dacotahs,trochaic,wswswsws
fresher than the summer morning,trochaic,swswswsw
censure never taught to bear,trochaic,swswsws
and taste the pleasures of the blest abodes,trochaic,wswswswsws
soft clione half divine,trochaic,swswsws
as their tempers near disarm'd,trochaic,wwswsws
so both a safety from the wind,trochaic,wswswsws
nor exchange thy peace for gold,trochaic,swswsws
upland grounds where flocks are seen,trochaic,swswsws
so when i stand and round me gaze,trochaic,wswswsws
the useful hands of industry in works,trochaic,wswswswsws
had our foul dishonour seen,trochaic,wwswsws
hail aurora nymph divine,trochaic,swswsws
dwell disease and strife and care,trochaic,swswsws
thro' the vast desart of the sky,trochaic,swswswsw
grant it with a begging no,trochaic,wswwsws
but the young eagle borne amid the blaze,trochaic,wswswswsws
and native splendor lose but shame retort,trochaic,wswswswsws
o'er headlong streams and pathless groves,trochaic,wswswsws
as at eve he treads the plain,trochaic,wswswsw
no intruders thither come,trochaic,swswsws
when th' expanded barn o'erflows,trochaic,wswswsws
where the limpid stream distils,trochaic,wwswsws
bad the shepherd by the brook,trochaic,swswsws
the lustre of that order which thy name,trochaic,wswswswsws
while as by chance i turn my sight,trochaic,wswswsws
of riot and debauch and often win,trochaic,wswswswsws
can he behold the allquickening light,trochaic,wswswswsws
under the name and holy patronage,trochaic,wswswswsws
sense that shuns each conscious air,trochaic,swswsws
my private int'rests partially to serve,trochaic,wswswswsws
the king that is not free is not a king,trochaic,wswswswsws
each a gasping warrior's head,trochaic,wwswswsw
and strips the clusters as they grow,trochaic,wswswsws
old olympus' lofty seat,trochaic,swswsws
tillatsunsethiawatha,trochaic,swswswsw
from fair joanna's eversmiling court,trochaic,wswsswswsw
'gainst all storms and tempests proof,trochaic,swswsws
this is sure the haunt of fairies,trochaic,wwswswsw
so sweet a bard it ne'er shall know,trochaic,wswswsws
britons rouse to deeds of death,trochaic,swswsws
through the forest have i gone,trochaic,wwswsws
pining grief and wasting anguish,trochaic,swswswsw
and of their revels leave no trace,trochaic,wswswsws
wherefore that reluctant bow,trochaic,swswsws
in thee transcendent well hast thou approv'd,trochaic,wswswswsws
little cots that seek the rills,trochaic,swswsws
led by the sound i onward creep,trochaic,wswswsws
all the whole seraglio there,trochaic,wwswswsw
to think for thee that shepherd pines,trochaic,wswswsws
the aweful veneration of mankind,trochaic,wswswswsws
'tis to mortgage house and land,trochaic,swswsws
to meditate my kindred skies,trochaic,wswswsws
hopes of endless peace and fame,trochaic,swswsws
then pursue good sense and duty,trochaic,swswswsw
for thee indulgent justice shall relax,trochaic,wswswswsws
for her full meridian ray,trochaic,wwswswsw
nor footstep prints the flow'ry green,trochaic,wswswsws
sleeping on the heathclad hill,trochaic,swswsws
for blessings of the earth and air,trochaic,wswswsws
for some beauteous handmaids joy,trochaic,wwswsws
let us go and let us fly,trochaic,wswswsw
be it business love or sorrow,trochaic,wwswswsw
since thy mercies oft of old,trochaic,wwswsws
gilds awhile the gloom of night,trochaic,swswsws
plian as lettering in the chapels,trochaic,sswswswsws
to a more sequester'd shade,trochaic,wwswsws
begirt with this aetherial train,trochaic,wswswswsws
hail happy prince on whom kind fate bestows,trochaic,wswswswsws
asofoldislewherfather,trochaic,wswsswsw
lulls the night or cheers the morn,trochaic,wswswsw
and almost deify'd to teach them thence,trochaic,wswswswsws
the common father sunk to rest,trochaic,wswswsws
this has all been said before,trochaic,wswwsws
from her embrace by lawless pow'r withheld,trochaic,wswswswssws
and all his blazing magnitude unfold,trochaic,wswswswsws
warm'd anew her drooping heart,trochaic,swswsws
round the world hath bound her chain,trochaic,wswswsw
well has thy sovereign wisdom royal judge,trochaic,wswswswsws
and beyond the purple grove,trochaic,swswsws
then gave her for ardelia's friend,trochaic,wswswswsw
each hollow vale each echoing hill,trochaic,wswswswsw
truly fortunate and blest,trochaic,swswsws
there bid th' imaginary train,trochaic,swswswsws
while attracted swell the waves,trochaic,swswsws
or in the generous strife like sidney bleed,trochaic,wswsswswsws
in every chapter thou henceforth preside,trochaic,wsswswswsws
or where pestilences reign,trochaic,wwswsws
yet should rising whirlwinds tear,trochaic,wwswsws
see to sweeten thy repose,trochaic,swswsws
dauntless on his native sands,trochaic,swswsws
where calm celestial splendors shine,trochaic,wswswsws
whence in just confidence secure i come,trochaic,wswswswsws
sanghiswar songwildandwoful,trochaic,swsswsws
will cause demetrius to awake,trochaic,wswswsws
silver'd o'er with cynthia's beam,trochaic,swswswsw
happy muse that didst embrace,trochaic,swswsws
on some neighb'ring cliff they spy'd,trochaic,wwswsws
the use and dignity of speech,trochaic,wswswsws
light of foot trip o'er the plain,trochaic,wswswsw
larger than in life they managed,trochaic,swswswsw
the slender fir that taper grows,trochaic,wswswsws
wove and painted by the sun,trochaic,swswsws
weighing consequences mus'd,trochaic,swswsws
but the fates had not consented,trochaic,wwswswsw
myrtles blooming on his brow,trochaic,swswsws
whoe'er in aftertimes shall so pervert,trochaic,sswswswsws
learned as a female ought,trochaic,wswsws
but so much our shepherds dread him,trochaic,wwswswsw
shades for his retreat he chose,trochaic,swswsws
where that was they soon shou'd know,trochaic,wswswsw
nor thus remov'd to heav'n and thus employ'd,trochaic,wswswswsws
i had met a traitor's doom,trochaic,wwswsws
h eliza's form and stanhope's wit,trochaic,swswswsws
long her strains in sorrow sleep,trochaic,swswsws
round about the indian village,trochaic,swswswsws
which in eden's garden grew,trochaic,wwswsws
daughter dire of justice hail,trochaic,swswsws
whenhefromthemoondescended,trochaic,swswswsw
of kings the love and wonder of mankind,trochaic,wswswswsws
on the white emblossom'd spray,trochaic,wwswsws
those false pageants of the great,trochaic,swswsws
and pointing edward towards the royal throne,trochaic,wswswsswsws
only you have power to wound me,trochaic,swswswsws
fate has led her wandering feet,trochaic,swswswsw
soon her pride shall kiss the ground,trochaic,wswswsw
with his nosegay on his breast,trochaic,wwswsws
to custom and th' indulgence of thy country,trochaic,wsswswswswsw
than in the highest pride of sov'reign pow'r,trochaic,wswswswswsw
where by artist's hand undrawn,trochaic,wwswsws
partial to my virgin bloom,trochaic,swswsws
helena is here at hand,trochaic,swswsws
goddess look propitious down,trochaic,swswsws
tho' withdrawn from all the rest,trochaic,swswsws
suddenlystartingfromhisambush,trochaic,swswswsws
quickly delia learn my passion,trochaic,swswswsw
give the epicure his dish,trochaic,swswsws
curling on the silver lake,trochaic,swswsws
have they sunk to downy rest,trochaic,wwswsws
o generous youth in vain thy goodness strives,trochaic,wsswswswsws
mark her devious hasty pace,trochaic,wswswsws
the supplanter then unfelt,trochaic,swswsws
did the sword of conan mow,trochaic,wwswsws
on the dank and dirty ground,trochaic,wwswsws
in the breasts of tortur'd men,trochaic,wwswsws
ebbing tides brook no delay,trochaic,swswsws
see thy friend godolphin stand,trochaic,wswswsw
the valiant sons of poverty the goths,trochaic,wswswswsws
the boundless treasures of the ravag'd world,trochaic,wswswswsws
pent within its bleak domain,trochaic,swswsws
bid them leave th' inglorious theme,trochaic,wswswswsw
nods and becks and wreathed smiles,trochaic,wswsws
will be absent from the plains,trochaic,wwswsws
lead them on to shame and pain,trochaic,wswswsw
sobbedandsankbeneaththesurface,trochaic,swswswsws
like the great impostor's dove,trochaic,wwswsws
cupid's wings now useless made,trochaic,swswsws
what a landskip lies below,trochaic,wwswsws
while the waking dream shall pay,trochaic,wwswsws
not your life was half so dear,trochaic,wswswsw
obedience order justice mercy love,trochaic,wswswswsws
when from salem's gates he drove,trochaic,wwswsws
when he seeks the conscious shade,trochaic,wwswsws
phoebus now with fainter fire,trochaic,swswswsw
the glory strength importance of a realm,trochaic,wswswswsws
no clouds no vapours intervene,trochaic,wswswsws
when shall time the veil remove,trochaic,wwswsws
save aeron brave and conan strong,trochaic,wswswsws
not one mask'd sorrow can you see,trochaic,wswswsws
as of thunder in the mountains,trochaic,wwswswsw
to ask the pledge of merit from my hand,trochaic,wswswswsws
let thy shafts unnumber'd fly,trochaic,swswsws
of coward ease while our impetuous fire,trochaic,wswswswswsw
where thro' creation's mighty round,trochaic,wswswsws
listen gracious to my lays,trochaic,swswsws
and the village windows blaze,trochaic,wwswsws
forc'd for reward no longer to retreat,trochaic,wswswswsws
with the dreams of youth she flies,trochaic,wswswsw
onthelittleheadofmama,trochaic,swswswsw
grongar in whose silent shade,trochaic,swswsws
thou rushest on th' affrighted soul,trochaic,wsswswsws
far trading barks to every shore,trochaic,wswswswsw
more courtly manners to their sov'reign's will,trochaic,wswswswsws
harmony and judgment join'd,trochaic,swswsws
virtue's the people's idol and by them,trochaic,sswswswsws
below me trees unnumber'd rise,trochaic,wswswsws
here morpheus comes a wandering guest,trochaic,wswswswsws
the crimson harvest of the foe,trochaic,wswswsws
wild ambition leads to woe,trochaic,swswsws
charms the forest with her tale,trochaic,swswsws
from your empyreal bow'rs,trochaic,wswswsw
hark to yonder milkmaid singing,trochaic,swswswsw
full of all the tender pathos,trochaic,wswwswsw
the gen'ral theme of praise and benediction,trochaic,wswswswswsw
bring o bring th' impatient steed,trochaic,wswswsws
mark the lovely milkingmaid,trochaic,swswsws
where the burford rear'd her sail,trochaic,wwswsws
i claim and on hereditary right,trochaic,wswswswsws
in glory's sphere thy orbit to reclaim,trochaic,wswswswsws
source of all pow'r and grandeur boundless wealth,trochaic,wswswswswsw
yet let damon own his friend,trochaic,swswsws
thy wisdom gladly will accept for who,trochaic,wswswswsws
to claim the honour by thy promise due,trochaic,wswswswsws
heroic games whose toils inspire,trochaic,wswswsws
hears the thrush while all is still,trochaic,wswswsw
proud independency and publick zeal,trochaic,wswswswsws
the equipage might not decay,trochaic,wswswsws
beyond the noise of busy man,trochaic,wswswsws
once more hail this happy day,trochaic,swswsws
by solemn invitation noble guests,trochaic,wswswswsws
venus in her shape and air,trochaic,swswsws
glancing on the shivered oak,trochaic,swswsws
andthreeuselessarrowsonly,trochaic,swswswsws
from his house and country torn,trochaic,wwswsws
not a dewdrop's left the rose,trochaic,wwswsws
every ruder gust of passion,trochaic,sswswswsw
as the whirlwind in its course,trochaic,wwswsws
a sweet but absolute retreat,trochaic,wswswsws
to public merit and their country's good,trochaic,wswswswsws
that is childhood at her side,trochaic,wwswsws
a face of dignity and nothing breathes,trochaic,wswswswsws
while seeing all the bottom shine,trochaic,wswswsws
o'er the green pursue the geese,trochaic,wwswsws
t gwyneth's shield and britain's gem,trochaic,wswswsws
charity to smooth the pace,trochaic,swswsws
night appears with balmy peace,trochaic,swswsws
as pearls upon an aethiop's arm,trochaic,wswswswsw
soon he saw the perfect maid,trochaic,wswswsw
tothepurplecloudsofsunset,trochaic,swswswsw
happy they whom crowds befriend,trochaic,swswsws
at once the past and present view,trochaic,wswswsws
to wander here and smiling see,trochaic,wswswsws
dancing on the level land,trochaic,swswsws
free the surrow'd task is done,trochaic,wswswsw
dreams and shadows by thee stand,trochaic,swswsws
did i take delight to fetter,trochaic,wwswswsw
these noonjoys are waning fast,trochaic,wswswsw
on thee victorious prince propitious fortune,trochaic,wswswswswsw
protecting thus in every age,trochaic,wswswswsw
more than all his speech cou'd do,trochaic,wswswsw
o'er her father's rigid nature,trochaic,wwswswsw
runs along th' unprinted ground,trochaic,wswswsws
with her wellpois'd milken pail,trochaic,wwswsws
in symmetry and strength and fame,trochaic,wswswsws
chuse where'er your fancy leads you,trochaic,wsswswsw
long with undistinguish'd flame,trochaic,swswsws
the dear one to my arms compel,trochaic,wswswsws
shepherd seek not wealth nor power,trochaic,swswswsw
cladfromheadtofootinwampum,trochaic,swswswsw
may i share that poet's fate,trochaic,wwswsws
on the mirthful mazy dance,trochaic,wwswsws
with many a noble scar will fitly shine,trochaic,wsswswswsws
trickling through the crevic'd rock,trochaic,swswsws
soars beyond the shepherd's sight,trochaic,swswsws
such as angels now receive,trochaic,wwswsws
lay me in the silent mead,trochaic,wswwsws
of joy were not annex'd and larger scope,trochaic,wswswswsws
the noblest purposes but in the use,trochaic,wswswswsws
so they passed in beards and moleskins,trochaic,wwswswsw
here the bastimentos viewing,trochaic,wwswswsw
and daisies earful of the gloom,trochaic,wswswswsw
